Date,Stock_Name,Stock_Code,Price,Score,Action,Trend
2026-05-07,剑桥科技,603083,184.07,48,观望,震荡
2026-05-07,沪电股份,002463,107.88,68,持有观望,看多
2026-05-07,生益科技,600183,82.0,62,持有,看多
2026-05-07,拓普集团,601689,64.47,50,观望,震荡
2026-05-07,三花智控,002050,50.32,55,观望,震荡
2026-05-07,云天化,600096,35.1,75,买入,看多
2026-05-07,工业富联,601138,64.18,55,持有,震荡
2026-05-07,牧原股份,002714,44.07,42,观望,看空
2026-05-07,北方华创,002371,552.14,65,持有/轻仓买入,看多
2026-05-07,德明利,001309,616.51,45,持有/观望,看多（需警惕回调）
2026-05-08,剑桥科技,603083,189.84,50,观望,看多
2026-05-08,沪电股份,002463,108.71,62,持有/观望,看多
2026-05-08,生益科技,600183,82.0,65,持有,看多
2026-05-08,拓普集团,601689,66.89,65,持有,看多
2026-05-08,三花智控,002050,51.69,65,持有/观望,看多
2026-05-08,云天化,600096,34.77,72,持有/观望,看多
2026-05-08,工业富联,601138,63.28,55,持有,震荡
2026-05-08,牧原股份,002714,43.51,45,观望,震荡
2026-05-08,北方华创,002371,540.79,76,买入/持有,看多
2026-05-08,德明利,001309,597.71,58,持有,看多
2026-05-11,剑桥科技,603083,197.8,60,持有/观望,看多
2026-05-11,沪电股份,002463,108.68,55,持有,看多
2026-05-11,生益科技,600183,83.66,58,持有,看多
2026-05-11,拓普集团,601689,66.96,70,买入（轻仓）,看多
2026-05-11,三花智控,002050,51.21,70,买入（谨慎小仓）,看多
2026-05-11,云天化,600096,35.03,63,买入,看多
2026-05-11,工业富联,601138,65.85,50,观望,震荡
2026-05-11,牧原股份,002714,44.32,68,买入,看多
2026-05-11,北方华创,002371,573.19,65,持有,看多
2026-05-11,德明利,001309,639.21,52,持有,看多
2026-05-12,剑桥科技,603083,189.42,60,持有,震荡
2026-05-12,沪电股份,002463,108.68,75,买入,看多
2026-05-12,生益科技,600183,85.62,60,持有,看多
2026-05-12,拓普集团,601689,67.05,62,持有,看多
2026-05-12,三花智控,002050,50.92,78,买入（轻仓）,看多
2026-05-12,云天化,600096,34.19,48,持有,震荡
2026-05-12,工业富联,601138,64.40,50,持有,震荡
2026-05-12,牧原股份,002714,42.93,45,观望,震荡
2026-05-12,北方华创,002371,581.45,62,持有,看多
2026-05-12,德明利,001309,618.00,70,持有,看多
2026-05-13,剑桥科技,603083,191.64,75,买入,看多
